company,normalized_company,industry,specialization,employee_count,headquarters
UnitedHealth Group,UnitedHealth Group,Healthcare,Health Insurance,400,000+,Minnetonka, MN
Anthem,Anthem,Healthcare,Health Insurance,100,000+,Indianapolis, IN
Cigna,Cigna,Healthcare,Health Insurance,70,000+,Bloomfield, CT
Aetna,Aetna,Healthcare,Health Insurance,50,000+,Hartford, CT
Humana,Humana,Healthcare,Health Insurance,60,000+,Louisville, KY
Kaiser Permanente,Kaiser Permanente,Healthcare,Healthcare Services,300,000+,Oakland, CA
HCA Healthcare,HCA Healthcare,Healthcare,Hospital Management,250,000+,Nashville, TN
Tenet Healthcare,Tenet Healthcare,Healthcare,Hospital Management,100,000+,Dallas, TX
Community Health Systems,Community Health Systems,Healthcare,Hospital Management,100,000+,Franklin, TN
Ascension,Ascension,Healthcare,Healthcare Services,150,000+,St. Louis, MO
Catholic Health Initiatives,Catholic Health Initiatives,Healthcare,Healthcare Services,100,000+,Englewood, CO
Providence St. Joseph Health,Providence St. Joseph Health,Healthcare,Healthcare Services,120,000+,Renton, WA
Dignity Health,Dignity Health,Healthcare,Healthcare Services,60,000+,San Francisco, CA
CommonSpirit Health,CommonSpirit Health,Healthcare,Healthcare Services,150,000+,Chicago, IL
Trinity Health,Trinity Health,Healthcare,Healthcare Services,90,000+,Livonia, MI
AdventHealth,AdventHealth,Healthcare,Healthcare Services,80,000+,Altamonte Springs, FL
Novant Health,Novant Health,Healthcare,Healthcare Services,35,000+,Winston-Salem, NC
SCL Health,SCL Health,Healthcare,Healthcare Services,15,000+,Broomfield, CO
Intermountain Healthcare,Intermountain Healthcare,Healthcare,Healthcare Services,40,000+,Salt Lake City, UT
Geisinger Health,Geisinger Health,Healthcare,Healthcare Services,30,000+,Danville, PA
Mayo Clinic,Mayo Clinic,Healthcare,Medical Research & Practice,70,000+,Rochester, MN
Cleveland Clinic,Cleveland Clinic,Healthcare,Medical Research & Practice,70,000+,Cleveland, OH
Johns Hopkins Medicine,Johns Hopkins Medicine,Healthcare,Medical Research & Practice,40,000+,Baltimore, MD
Massachusetts General Hospital,Massachusetts General Hospital,Healthcare,Medical Research & Practice,25,000+,Boston, MA
NewYork-Presbyterian Hospital,NewYork-Presbyterian Hospital,Healthcare,Medical Research & Practice,30,000+,New York, NY
UPMC,UPMC,Healthcare,Medical Research & Practice,90,000+,Pittsburgh, PA
Duke Health,Duke Health,Healthcare,Medical Research & Practice,40,000+,Durham, NC
Northwell Health,Northwell Health,Healthcare,Medical Research & Practice,75,000+,New Hyde Park, NY
Mount Sinai Health System,Mount Sinai Health System,Healthcare,Medical Research & Practice,40,000+,New York, NY
NYU Langone Health,NYU Langone Health,Healthcare,Medical Research & Practice,35,000+,New York, NY
Penn Medicine,Penn Medicine,Healthcare,Medical Research & Practice,40,000+,Philadelphia, PA
Brigham and Women's Hospital,Brigham and Women's Hospital,Healthcare,Medical Research & Practice,20,000+,Boston, MA
Beth Israel Deaconess Medical Center,Beth Israel Deaconess Medical Center,Healthcare,Medical Research & Practice,15,000+,Boston, MA
Stanford Health Care,Stanford Health Care,Healthcare,Medical Research & Practice,20,000+,Stanford, CA
UCLA Health,UCLA Health,Healthcare,Medical Research & Practice,25,000+,Los Angeles, CA
UCSF Health,UCSF Health,Healthcare,Medical Research & Practice,20,000+,San Francisco, CA
UC San Diego Health,UC San Diego Health,Healthcare,Medical Research & Practice,15,000+,La Jolla, CA
