pattern,type
Client:\s*(?P<company>.+),company
Employer:\s*(?P<company>.+),company
Company:\s*(?P<company>.+),company
Organization:\s*(?P<company>.+),company
Organisation:\s*(?P<company>.+),company
Firm:\s*(?P<company>.+),company
Business:\s*(?P<company>.+),company
Establishment:\s*(?P<company>.+),company
Institute:\s*(?P<company>.+),company
Institution:\s*(?P<company>.+),company
Corporation:\s*(?P<company>.+),company
Enterprise:\s*(?P<company>.+),company
Agency:\s*(?P<company>.+),company
Bureau:\s*(?P<company>.+),company
Group:\s*(?P<company>.+),company
Works\s+at:\s*(?P<company>.+),company
Worked\s+at:\s*(?P<company>.+),company
Working\s+at:\s*(?P<company>.+),company
Employed\s+at:\s*(?P<company>.+),company
Employed\s+by:\s*(?P<company>.+),company
Serving\s+at:\s*(?P<company>.+),company
(?:at|@)\s+(?P<company>[A-Z][A-Za-z0-9\s&.,'-]{2,}),company
^(?P<company>[A-Z][A-Za-z0-9\s&.,'-]{2,}),\s*(?P<location>[A-Z][A-Za-z\s]+)$,company_location
(?P<company>[A-Z][A-Za-z0-9\s&.'-]+(?:Inc|LLC|Ltd|Limited|Corp|Corporation|Co|GmbH|AG|SA|SAS|NV|BV|Pvt|Pty|plc|LLP|LP|PC|PLLC|SpA|SRL|AB|AS|ApS|Oy|Oyj|KK|KG|OHG|mbH)\.?),company_legal_suffix
(?:for|with|under)\s+(?P<company>[A-Z][A-Za-z0-9\s&.,'-]{2,}),company_for_with
Role:\s*(?P<title>.+),job_title
Title:\s*(?P<title>.+),job_title
Position:\s*(?P<title>.+),job_title
Job\s+Title:\s*(?P<title>.+),job_title
Job:\s*(?P<title>.+),job_title
Designation:\s*(?P<title>.+),job_title
Post:\s*(?P<title>.+),job_title
Rank:\s*(?P<title>.+),job_title
Grade:\s*(?P<title>.+),job_title
Level:\s*(?P<title>.+),job_title
Function:\s*(?P<title>.+),job_title
Capacity:\s*(?P<title>.+),job_title
Appointment:\s*(?P<title>.+),job_title
Posting:\s*(?P<title>.+),job_title
Occupation:\s*(?P<title>.+),job_title
Profession:\s*(?P<title>.+),job_title
Worked\s+as:\s*(?P<title>.+),job_title
Working\s+as:\s*(?P<title>.+),job_title
Serves\s+as:\s*(?P<title>.+),job_title
Served\s+as:\s*(?P<title>.+),job_title
Appointed\s+as:\s*(?P<title>.+),job_title
Promoted\s+to:\s*(?P<title>.+),job_title
Hired\s+as:\s*(?P<title>.+),job_title
Joined\s+as:\s*(?P<title>.+),job_title
Currently\s+(?:working|serving)\s+as:\s*(?P<title>.+),job_title
Location:\s*(?P<location>.+),location
City:\s*(?P<location>.+),location
Country:\s*(?P<location>.+),location
Region:\s*(?P<location>.+),location
State:\s*(?P<location>.+),location
Province:\s*(?P<location>.+),location
Based\s+in:\s*(?P<location>.+),location
Based\s+at:\s*(?P<location>.+),location
Located\s+in:\s*(?P<location>.+),location
Office:\s*(?P<location>.+),location
Site:\s*(?P<location>.+),location
Place:\s*(?P<location>.+),location
Address:\s*(?P<location>.+),location
Headquarters:\s*(?P<location>.+),location
HQ:\s*(?P<location>.+),location
Remote\s*[-–]?\s*(?P<location>.+)?,location
Hybrid\s*[-–]?\s*(?P<location>.+)?,location
(?P<city>[A-Z][a-zA-Z\s]+),\s*(?P<country>[A-Z][a-zA-Z\s]+),city_country
(?P<city>[A-Z][a-zA-Z\s]+),\s*(?P<state>[A-Z]{2})\s+(?P<zip>\d{5}(?:-\d{4})?),city_state_zip
(?P<work_mode>Remote|Hybrid|On.?site|In.?person|Work\s+from\s+Home|WFH),work_mode
(?P<start>\w+\s+\d{4})\s*[–-]\s*(?P<end>\w+\s+\d{4}|Current),date
(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>present|current|now|ongoing|till\s+date|to\s+date|\w+\s+\d{4}),date_range
(?P<start>\d{1,2}/\d{4})\s*[-–—]\s*(?P<end>\d{1,2}/\d{4}|present|current),date_range_slash
(?P<start>\d{4})\s*[-–—]\s*(?P<end>\d{4}|present|current|now),date_range_year_only
(?P<start>\d{1,2}-\d{1,2}-\d{4})\s*[-–—]\s*(?P<end>\d{1,2}-\d{1,2}-\d{4}),date_range_dmy
(?P<start>\d{4}-\d{2}-\d{2})\s*[-–—]\s*(?P<end>\d{4}-\d{2}-\d{2}),date_range_iso
(?P<start>\w+\s+\d{1,2},?\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{1,2},?\s+\d{4}|present|current),date_range_long
From:\s*(?P<start>.+?)\s+To:\s*(?P<end>.+),date_from_to
Start\s+Date:\s*(?P<start>.+),date_start
End\s+Date:\s*(?P<end>.+),date_end
